Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x8011e,female,24,German,Swimming,70,FALSE,FALSE,FALSE,FALSE,1,TRUE,phd,A,TRUE
x6077a,male,26,German,Golf,67,FALSE,TRUE,FALSE,FALSE,2,TRUE,bachelor,A,FALSE
x6006e,female,23,Dutch,Running,67,FALSE,TRUE,TRUE,FALSE,0,TRUE,master,A,FALSE
x2173b,male,24,Dutch,Cricket,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x6241a,female,26,German,Golf,59,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,TRUE
x9063d,female,26,Dutch,Chess,63,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x5785d,female,27,Dutch,Tennis,63,TRUE,TRUE,FALSE,FALSE,2,TRUE,bachelor,A,FALSE
x8767c,female,22,Dutch,Swimming,71,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x6541b,female,28,Dutch,Football,65,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,FALSE
x3890b,male,24,Dutch,Football,55,TRUE,FALSE,FALSE,TRUE,3,FALSE,master,A,TRUE
x9775f,female,27,Dutch,Football,61,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x3562f,male,28,Dutch,Football,56,FALSE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,TRUE
x4044c,female,27,German,Football,62,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x9428d,male,26,Dutch,Football,56,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x4375d,female,25,Dutch,Swimming,63,FALSE,TRUE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x3407e,female,27,Dutch,Football,66,TRUE,TRUE,FALSE,TRUE,2,TRUE,bachelor,A,TRUE
x9859f,male,28,Dutch,Cricket,63,FALSE,TRUE,TRUE,FALSE,1,FALSE,phd,A,FALSE
x6048a,male,27,Belgian,Football,60,TRUE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,TRUE
x7516e,male,31,Dutch,Swimming,71,FALSE,TRUE,TRUE,FALSE,1,TRUE,phd,A,TRUE
x8071e,female,24,Belgian,Running,63,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x6618f,female,27,Dutch,Running,68,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x6055a,female,28,Dutch,Running,65,FALSE,FALSE,TRUE,FALSE,0,TRUE,master,A,FALSE
x4063e,male,26,Dutch,Tennis,62,FALSE,TRUE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x7466e,male,24,Dutch,Running,74,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x9170e,male,24,Belgian,Tennis,72,FALSE,TRUE,FALSE,FALSE,2,TRUE,master,A,TRUE
x3887a,male,24,Dutch,Football,68,FALSE,TRUE,FALSE,FALSE,2,TRUE,master,A,FALSE
x2399e,male,21,Dutch,Running,61,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x2460f,male,29,Dutch,Rugby,58,TRUE,FALSE,FALSE,TRUE,3,FALSE,master,A,TRUE
x4499e,male,30,Dutch,Cricket,56,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x2883f,male,26,Dutch,Football,65,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x9082b,female,22,Belgian,Swimming,69,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x7785e,female,31,Belgian,Golf,61,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x8533d,male,29,Dutch,Football,61,TRUE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,TRUE
x2781d,male,23,German,Tennis,66,FALSE,TRUE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x2046b,male,31,Dutch,Swimming,59,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x4020c,male,28,Dutch,Football,51,TRUE,FALSE,TRUE,FALSE,2,FALSE,master,A,FALSE
x9259f,male,29,Dutch,Rugby,65,TRUE,FALSE,TRUE,FALSE,2,FALSE,phd,A,TRUE
x6183e,male,32,Dutch,Golf,66,FALSE,FALSE,TRUE,FALSE,1,TRUE,master,A,FALSE
x2368c,male,27,German,Football,64,TRUE,TRUE,FALSE,TRUE,2,FALSE,bachelor,A,FALSE
x4001c,female,22,Belgian,Cricket,71,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x2984e,female,30,Dutch,Football,57,TRUE,FALSE,FALSE,TRUE,3,FALSE,master,A,TRUE
x6252c,male,28,Dutch,Football,68,FALSE,TRUE,FALSE,FALSE,2,TRUE,bachelor,A,TRUE
x2750a,female,25,Belgian,Swimming,69,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x9388c,female,22,Dutch,Swimming,64,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x1060e,female,21,Dutch,Tennis,67,FALSE,FALSE,FALSE,FALSE,2,TRUE,bachelor,A,FALSE
